Sample	cap59	gpd1	igs1	lac1	plb1	sod1	ura5	ST
Cn101	1	3	1	5	2	1	1	5
Cn106	1	3	1	5	2	1	1	5
Cn126	1	3	1	5	2	1	1	5
Cn128	1	3	1	5	2	1	1	5
Cn147	1	1	10	3	2	1	1	31
Cn150	1	23	10	3	4	1	1	93
Cn160	31	21	53	40	37	17	53	0
Cn162	1	3	1	5	2	1	1	5
Cn169	1	3	1	5	2	1	1	5
Cn174	1	3	1	5	2	1	1	5
Cn196	1	3	1	5	2	1	1	5
Cn197	1	3	1	5	2	1	1	5
Cn198	1	3	1	5	2	1	1	5
Cn208	1	3	1	5	2	1	1	5
Cn213	1	3	1	5	2	1	1	5
Cn215	1	3	1	5	2	1	1	5
Cn217	1	3	1	5	2	1	1	5
Cn225	1	3	1	5	2	1	1	5
Cn226	1	3	1	5	2	1	1	5
Cn10101	1	3	1	5	2	1	1	5
Cn10102	1	3	1	5	2	1	1	5
Cn10103	1	3	1	5	2	1	1	5
Cn10601	1	3	1	5	2	1	1	5
Cn10602	1	3	1	5	2	1	1	5
Cn10603	1	3	1	5	2	1	1	5
Cn12601	1	3	1	5	2	1	1	5
Cn12602	1	3	1	5	2	1	1	5
Cn12603	1	3	1	5	2	1	1	5
Cn12801	1	3	1	5	2	1	1	5
Cn12802	1	3	1	5	2	1	1	5
Cn12803	1	3	1	5	2	1	1	5
Cn14701	1	1	10	3	2	1	1	31
Cn14702	1	1	10	3	2	1	1	31
Cn14703	1	1	10	3	2	1	1	31
Cn15001	1	23	10	3	4	1	1	93
Cn15002	1	23	10	3	4	1	1	93
Cn15003	1	23	10	3	4	1	1	93
Cn16001	31	21	53	40	37	17	53	0
Cn16002	31	21	53	40	37	17	53	0
Cn16003	31	21	53	40	37	17	53	0
Cn16201	1	3	1	5	2	1	1	5
Cn16202	1	3	1	5	2	1	1	5
Cn16203	1	3	1	5	2	1	1	5
Cn16901	1	3	1	5	2	1	1	5
Cn16902	1	3	1	5	2	1	1	5
Cn16903	1	3	1	5	2	1	1	5
Cn17401	1	3	1	5	2	1	1	5
Cn17402	1	3	1	5	2	1	1	5
Cn17403	1	3	1	5	2	1	1	5
Cn19601	1	3	1	5	2	1	1	5
Cn19602	1	3	1	5	2	1	1	5
Cn19603	1	3	1	5	2	1	1	5
Cn19701	1	3	1	5	2	1	1	5
Cn19702	1	3	1	5	2	1	1	5
Cn19703	1	3	1	5	2	1	1	5
Cn19801	1	3	1	5	2	1	1	5
Cn19802	1	3	1	5	2	1	1	5
Cn19803	1	3	1	5	2	1	1	5
Cn20801	1	3	1	5	2	1	1	5
Cn20802	1	3	1	5	2	1	1	5
Cn20803	1	3	1	5	2	1	1	5
Cn21301	1	3	1	5	2	1	1	5
Cn21302	1	3	1	5	2	1	1	5
Cn21303	1	3	1	5	2	1	1	5
Cn21501	1	3	1	5	2	1	1	5
Cn21502	1	3	1	5	2	1	1	5
Cn21503	1	3	1	5	2	1	1	5
Cn21701	1	3	1	5	2	1	1	5
Cn21702	1	3	1	5	2	1	1	5
Cn21703	1	3	1	5	2	1	1	5
Cn22501	1	3	1	5	2	1	1	5
Cn22502	1	3	1	5	2	1	1	5
Cn22503	1	3	1	5	2	1	1	5
Cn22601	1	3	1	5	2	1	1	5
Cn22602	1	3	1	5	2	1	1	5
Cn22603	1	3	1	5	2	1	1	5
CnH99	7	1	1	1	1	1	2	2
CnH9901	7	1	1	44*	1	1	2	0
CnH9902	7	1	1	1	1	1	2	2
CnH9903	7	1	1	44	1	1	2	0
