sample	strain_id	batch	clone_type	is_reference	figure	group	screen_total_het	screen_het_per_kb	screen_het_robust_z	screen_genome_het_flag	screen_clonality	screen_clonality_conf	cnv_n_disomy_with_het	cnv_n_disomy_no_het	cnv_n_mixed_chroms	gate_af_shape_hint	gate_minor_af_median	gate_minor_af_iqr	gate_frac_low_minor	gate_frac_near_half	gate_n_het_pf	gate_kmer_ploidy	gate_collapse_ratio_screen	gate_collapse_ratio_pf	gate_collapse_applicable	gate_single_colony	call_wgs_class	call_is_provisional	call_gate_status
Cn1	1	parent	parent	FALSE	NA	NA	3640	0.19268237850304107	1.4716162024943895	baseline	localized_het_anomaly	moderate	0	0	1	spread_sub_half	0.2	0.1907355887625534	0.6798679867986799	0.16501650165016502	303	NA	NA	NA	FALSE	NA	localized_het_anomaly	FALSE	kmer:NA|colony:NA
Cn2	2	parent	parent	FALSE	NA	NA	3863	0.2044868209223208	4.2063696454631305	elevated	mixed_infection_possible	moderate	0	0	0	spread_sub_half	0.18627450980392157	0.07130852809041965	0.8281622911694511	0.081145584725537	419	NA	NA	NA	FALSE	NA	mixture_candidate	TRUE	kmer:NA|colony:NA
Cn3	3	parent	parent	FALSE	NA	NA	4039	0.21380333153125905	6.364740075788235	high	ambiguous_needs_review	low	0	0	1	spread_sub_half	0.19553072625698323	0.10076114534251535	0.7881188118811882	0.09900990099009901	505	NA	NA	NA	FALSE	NA	ambiguous_needs_review	FALSE	kmer:NA|colony:NA
Cn4	4	parent	parent	FALSE	NA	NA	4101	0.21708528413213501	7.125075113743669	high	mixed_infection_likely	high	0	1	6	spread_sub_half	0.30000000000000004	0.17923395086189814	0.44126984126984126	0.24682539682539684	2520	NA	NA	NA	FALSE	NA	mixture_candidate	TRUE	kmer:NA|colony:NA
Cn5	5	parent	parent	FALSE	NA	NA	3884	0.2055984500290691	4.463902480899648	elevated	mixed_infection_possible	moderate	0	0	0	spread_sub_half	0.18840579710144928	0.07871198568872986	0.8723897911832946	0.048723897911832945	431	NA	NA	NA	FALSE	NA	mixture_candidate	TRUE	kmer:NA|colony:NA
Cn6	6	parent	parent	FALSE	NA	NA	3442	0.18220130406798554	-0.9565505316213533	baseline	monoclonal_clean	high	0	0	0	spread_sub_half	0.1896551724137931	0.13291316526610641	0.7322033898305085	0.1288135593220339	295	NA	NA	NA	FALSE	NA	monoclonal_clean	FALSE	kmer:NA|colony:NA
Cn7	7	parent	parent	FALSE	NA	NA	3722	0.1970230254912964	2.4772206075322223	elevated	mixed_infection_possible	moderate	0	0	0	spread_sub_half	0.19337606837606838	0.10372350287327214	0.7789855072463768	0.10144927536231885	276	NA	NA	NA	FALSE	NA	mixture_candidate	TRUE	kmer:NA|colony:NA
Cn8	8	parent	parent	FALSE	NA	NA	4762	0.25207513363502243	15.231227695816932	high	mixed_infection_likely	high	0	1	7	spread_sub_half	0.3005181347150259	0.17687620595105105	0.43983524566048837	0.24154162989114444	3399	NA	NA	NA	FALSE	NA	mixture_candidate	TRUE	kmer:NA|colony:NA
Cn9	9	parent	parent	FALSE	NA	NA	3753	0.19866400179173438	2.8573881265099397	elevated	mixed_infection_possible	moderate	0	1	0	spread_sub_half	0.2094240837696335	0.10552268244575938	0.7787418655097614	0.08893709327548807	461	NA	NA	NA	FALSE	NA	mixture_candidate	TRUE	kmer:NA|colony:NA
Cn10	10	parent	parent	FALSE	NA	NA	3732	0.19755237268498607	2.5998552910734216	elevated	mixed_infection_possible	moderate	0	0	1	spread_sub_half	0.2	0.100891265597148	0.7729636048526863	0.07452339688041594	577	NA	NA	NA	FALSE	NA	mixture_candidate	TRUE	kmer:NA|colony:NA
