image,well,roi_area,raw_mean,raw_median,raw_intden,mean_gray,median_gray,sd_gray,min_gray,max_gray,intden_gray,cv_gray,dark_frac_40,dark_frac_60,dark_frac_80
000blank_crop,TL,477851.000,45.336,45.000,21663655.000,55.544,55.000,8.976,0.000,123.000,26541948.000,0.161601,23.993,75.075,99.963

000blank_crop,TM,503920.000,56.025,56.000,28232351.000,64.591,64.000,7.132,5.000,96.000,32548860.000,0.110411,0.089,28.112,98.203

000blank_crop,TR,484526.000,42.851,42.000,20762600.000,53.409,53.000,8.069,0.000,125.000,25878064.000,0.151076,3.405,83.739,99.404

000blank_crop,BL,475902.000,47.172,47.000,22449452.000,57.073,57.000,6.995,0.000,87.000,27161113.000,0.122555,0.949,69.324,99.969

000blank_crop,BM,495156.000,53.508,53.000,26494900.000,62.586,62.000,6.956,10.000,94.000,30989720.000,0.111141,0.190,38.696,99.233

000blank_crop,BR,463304.000,59.245,59.000,27448410.000,67.121,67.000,7.037,2.000,106.000,31097276.000,0.104846,0.037,15.485,96.548

10102_crop,TL,477851.000,77.340,79.000,36956800.000,100.510,104.000,24.301,0.000,169.000,48028573.000,0.241775,25.104,27.363,33.116

10102_crop,TM,503920.000,33.798,13.000,17031395.000,61.223,34.000,61.087,0.000,227.000,30851647.000,0.997768,54.226,61.855,67.746

10102_crop,TR,484526.000,16.659,14.000,8071606.000,32.529,29.000,16.415,0.000,147.000,15761307.000,0.504615,83.441,95.018,97.594

10102_crop,BL,475902.000,33.047,33.000,15726951.000,45.004,44.000,8.763,0.000,106.000,21417502.000,0.194724,30.406,95.365,99.596

10102_crop,BM,495156.000,29.712,30.000,14712228.000,42.199,42.000,7.867,0.000,78.000,20894925.000,0.186436,42.696,98.080,100.000

10102_crop,BR,463304.000,37.402,37.000,17328454.000,49.044,48.000,9.496,0.000,103.000,22722176.000,0.193624,15.226,90.070,98.802

10602_crop,TL,477851.000,83.674,85.000,39983707.000,104.502,107.000,23.139,0.000,176.000,49936599.000,0.221420,24.072,25.990,31.460

10602_crop,TM,503920.000,37.083,36.000,18687023.000,47.653,47.000,9.201,0.000,158.000,24013223.000,0.193083,18.330,94.385,99.371

10602_crop,TR,484526.000,25.164,25.000,12192818.000,38.291,38.000,8.751,0.000,115.000,18553071.000,0.228547,64.431,98.260,99.958

10602_crop,BL,475902.000,39.685,39.000,18886219.000,50.763,50.000,8.793,0.000,101.000,24158048.000,0.173219,9.341,88.891,99.111

10602_crop,BM,495156.000,28.806,28.000,14263332.000,41.740,41.000,8.867,0.000,91.000,20667934.000,0.212437,47.560,96.661,99.819

10602_crop,BR,463304.000,42.786,42.000,19822825.000,53.745,52.000,10.168,0.000,117.000,24900356.000,0.189189,4.557,83.177,97.278

12602_crop,TL,477851.000,88.301,90.000,42194691.000,107.133,110.000,21.915,0.000,169.000,51193769.000,0.204561,24.556,25.800,29.388

12602_crop,TM,503920.000,38.408,31.000,19354474.000,93.116,81.000,62.153,0.000,249.000,46923058.000,0.667477,26.219,39.691,49.886

12602_crop,TR,484526.000,27.137,24.000,13148402.000,41.832,38.000,18.237,0.000,172.000,20268730.000,0.435968,59.106,91.250,96.373

12602_crop,BL,475902.000,31.708,31.000,15089951.000,44.051,43.000,10.445,0.000,147.000,20963947.000,0.237123,37.521,95.057,99.137

12602_crop,BM,495156.000,24.434,24.000,12098756.000,37.858,37.000,8.370,0.000,77.000,18745386.000,0.221089,66.560,98.433,100.000

12602_crop,BR,463304.000,34.279,34.000,15881571.000,46.491,45.000,10.228,0.000,104.000,21539586.000,0.220005,26.720,91.945,98.644

12802_crop,TL,477851.000,83.801,85.000,40044563.000,104.105,106.000,23.151,0.000,185.000,49746686.000,0.222386,25.523,28.822,34.908

12802_crop,TM,503920.000,14.319,12.000,7215507.000,29.358,26.000,16.076,0.000,158.000,14794261.000,0.547582,88.473,96.014,97.833

12802_crop,TR,484526.000,20.579,20.000,9971058.000,34.171,33.000,9.162,0.000,119.000,16556785.000,0.268109,80.753,98.439,99.885

12802_crop,BL,475902.000,23.994,24.000,11418751.000,36.972,36.000,8.454,0.000,93.000,17594897.000,0.228651,69.722,99.016,99.997

12802_crop,BM,495156.000,26.901,27.000,13320370.000,39.140,39.000,7.205,0.000,73.000,19380461.000,0.184079,58.958,99.540,100.000

12802_crop,BR,463304.000,31.578,31.000,14630161.000,43.474,43.000,8.787,0.000,94.000,20141854.000,0.202112,39.169,95.682,99.766

14702_crop,TL,477851.000,89.627,91.000,42828472.000,111.427,115.000,27.792,0.000,188.000,53245627.000,0.249415,24.147,25.864,30.041

14702_crop,TM,503920.000,76.124,79.000,38360415.000,108.957,113.000,38.600,0.000,213.000,54905640.000,0.354268,6.239,12.005,20.970

14702_crop,TR,484526.000,34.996,14.000,16956363.000,64.163,40.000,64.868,0.000,233.000,31088727.000,1.010981,50.210,57.955,64.606

14702_crop,BL,475902.000,39.008,34.000,18563770.000,50.472,44.000,24.004,0.000,182.000,24019697.000,0.475595,36.279,84.292,91.736

