image,well,roi_area,raw_mean,raw_median,raw_intden,mean_gray,median_gray,sd_gray,min_gray,max_gray,intden_gray,cv_gray,dark_frac_40,dark_frac_60,dark_frac_80
000blank_crop,TL,477851.000,54.835,54.000,26203076.000,65.787,65.000,10.016,0.000,137.000,31436243.000,0.152245,23.960,45.414,97.621

000blank_crop,TM,503920.000,67.805,68.000,34168488.000,75.798,76.000,7.588,3.000,111.000,38195885.000,0.100105,0.021,2.513,74.984

000blank_crop,TR,484526.000,46.328,46.000,22447297.000,59.293,59.000,10.512,0.000,149.000,28729065.000,0.177294,2.310,58.059,96.697

000blank_crop,BL,475902.000,50.102,50.000,23843736.000,62.246,62.000,9.569,0.000,115.000,29623046.000,0.153736,1.094,43.572,96.791

000blank_crop,BM,495156.000,69.649,70.000,34487091.000,77.711,78.000,6.983,6.000,104.000,38479108.000,0.089858,0.042,1.026,65.934

000blank_crop,BR,463304.000,75.970,76.000,35197040.000,82.752,83.000,7.712,0.000,128.000,38339474.000,0.093197,0.017,0.139,37.112

101H_crop,TL,477851.000,149.364,150.000,71373588.000,148.700,150.000,12.769,27.000,187.000,71056546.000,0.085868,23.560,23.566,23.572

101H_crop,TM,503920.000,96.531,108.000,48644066.000,125.099,128.000,69.557,0.000,253.000,63039869.000,0.556012,15.802,24.360,32.043

101H_crop,TR,484526.000,51.312,48.000,24861936.000,60.352,56.000,18.859,0.000,185.000,29242257.000,0.312482,3.182,66.826,90.392

101H_crop,BL,475902.000,65.392,65.000,31120149.000,73.133,73.000,7.398,0.000,105.000,34804172.000,0.101154,0.046,3.289,84.361

101H_crop,BM,495156.000,48.044,48.000,23789322.000,58.424,58.000,7.812,3.000,93.000,28928751.000,0.133710,0.975,61.538,99.615

101H_crop,BR,463304.000,53.301,53.000,24694553.000,62.523,62.000,8.543,1.000,117.000,28967138.000,0.136635,0.141,42.179,96.949

101L_crop,TL,477851.000,121.194,121.000,57912821.000,125.820,126.000,15.131,4.000,178.000,60123207.000,0.120259,23.556,23.556,23.700

101L_crop,TM,503920.000,133.881,134.000,67465487.000,135.416,136.000,13.213,57.000,180.000,68238657.000,0.097573,0.000,0.000,0.011

101L_crop,TR,484526.000,107.626,108.000,52147546.000,115.672,116.000,15.803,7.000,174.000,56045870.000,0.136618,0.071,0.311,2.202

101L_crop,BL,475902.000,129.710,130.000,61729214.000,132.554,133.000,13.537,34.000,174.000,63082515.000,0.102128,0.003,0.021,0.162

101L_crop,BM,495156.000,126.538,128.000,62656086.000,132.998,135.000,18.934,13.000,189.000,65854844.000,0.142360,0.133,0.455,1.524

101L_crop,BR,463304.000,100.381,113.000,46506848.000,127.940,132.000,68.904,0.000,255.000,59275280.000,0.538566,14.327,22.041,29.689

106H_crop,TL,477851.000,137.894,139.000,65892962.000,140.306,142.000,19.709,20.000,199.000,67045174.000,0.140472,23.562,23.568,23.775

106H_crop,TM,503920.000,99.600,107.000,50190592.000,128.212,130.000,70.189,0.000,255.000,64608449.000,0.547448,14.196,22.110,30.092

106H_crop,TR,484526.000,55.380,44.000,26832996.000,73.824,52.000,49.542,0.000,223.000,35769430.000,0.671088,34.273,56.672,66.297

106H_crop,BL,475902.000,49.387,49.000,23503236.000,58.996,59.000,7.557,1.000,91.000,28076497.000,0.128097,0.463,59.630,99.656

106H_crop,BM,495156.000,48.835,49.000,24180840.000,58.551,58.000,7.010,3.000,91.000,28992051.000,0.119729,0.560,62.076,99.794

106H_crop,BR,463304.000,43.616,43.000,20207534.000,54.321,53.000,9.390,0.000,113.000,25167348.000,0.172861,3.232,81.181,97.963

106L_crop,TL,477851.000,120.275,121.000,57473453.000,126.612,128.000,17.112,8.000,196.000,60501474.000,0.135154,23.568,23.593,24.070

106L_crop,TM,503920.000,155.050,155.000,78132951.000,154.013,155.000,12.482,95.000,191.000,77610427.000,0.081046,0.000,0.000,0.000

106L_crop,TR,484526.000,126.380,126.000,61234230.000,130.342,131.000,13.916,18.000,179.000,63154253.000,0.106763,0.004,0.031,0.354

106L_crop,BL,475902.000,144.690,145.000,68858179.000,145.825,147.000,14.204,80.000,185.000,69398483.000,0.097404,0.000,0.000,0.001

106L_crop,BM,495156.000,124.099,126.000,61448443.000,132.950,136.000,24.125,11.000,196.000,65831109.000,0.181456,0.325,1.020,3.710

106L_crop,BR,463304.000,109.851,116.000,50894384.000,131.422,136.000,64.626,0.000,254.000,60888510.000,0.491741,10.879,18.061,25.804

126H_crop,TL,477851.000,122.316,128.000,58448802.000,136.022,143.000,35.277,7.000,218.000,64998221.000,0.259345,28.465,31.470,34.777

126H_crop,TM,503920.000,73.732,70.000,37154990.000,119.294,116.000,70.453,0.000,255.000,60114473.000,0.590585,17.535,27.013,35.513

126H_crop,TR,484526.000,50.464,40.000,24451175.000,61.979,48.000,36.996,1.000,200.000,30030245.000,0.596920,25.645,72.982,81.509

126H_crop,BL,475902.000,53.769,54.000,25588785.000,66.427,67.000,9.817,2.000,103.000,31612900.000,0.147786,0.649,26.162,92.869

126H_crop,BM,495156.000,53.460,54.000,26471015.000,66.719,67.000,9.580,9.000,98.000,33036247.000,0.143581,0.575,24.838,93.309

126H_crop,BR,463304.000,48.787,49.000,22603189.000,59.674,60.000,7.322,1.000,102.000,27647414.000,0.122691,0.724,54.332,99.511

126L_crop,TL,477851.000,112.888,113.000,53943669.000,120.321,121.000,16.563,1.000,176.000,57495488.000,0.137655,23.904,24.013,24.575

126L_crop,TM,503920.000,130.865,131.000,65945671.000,133.918,135.000,14.142,41.000,179.000,67484169.000,0.105605,0.000,0.015,0.163

126L_crop,TR,484526.000,117.537,118.000,56949889.000,123.043,123.000,15.996,2.000,177.000,59617484.000,0.130003,0.063,0.194,0.974

126L_crop,BL,475902.000,128.428,129.000,61119065.000,132.299,133.000,15.605,14.000,181.000,62961274.000,0.117951,0.132,0.360,0.852

126L_crop,BM,495156.000,134.743,136.000,66718658.000,138.260,140.000,15.963,16.000,186.000,68460475.000,0.115454,0.085,0.277,0.637

126L_crop,BR,463304.000,99.468,105.000,46084078.000,129.247,133.000,68.707,0.000,255.000,59880746.000,0.531592,13.380,21.094,28.856

128H_crop,TL,477851.000,132.901,135.000,63506745.000,138.913,142.000,25.543,13.000,212.000,66379925.000,0.183877,23.599,23.862,24.781

128H_crop,TM,503920.000,54.474,38.000,27450761.000,72.298,45.000,53.856,1.000,228.000,36432490.000,0.744909,42.984,61.141,67.799

128H_crop,TR,484526.000,49.952,49.000,24202884.000,59.708,59.000,8.356,0.000,141.000,28930209.000,0.139954,0.480,57.813,98.165

128H_crop,BL,475902.000,72.480,72.000,34493489.000,79.221,79.000,6.982,5.000,115.000,37701314.000,0.088132,0.022,0.269,59.225

128H_crop,BM,495156.000,67.948,68.000,33644786.000,76.072,76.000,7.705,8.000,109.000,37667648.000,0.101279,0.022,1.917,73.086

128H_crop,BR,463304.000,53.925,53.000,24983493.000,63.278,62.000,8.944,0.000,119.000,29317085.000,0.141339,0.162,39.574,95.925

128L_crop,TL,477851.000,129.193,130.000,61734936.000,132.858,134.000,15.811,25.000,185.000,63486272.000,0.119007,23.556,23.572,23.814

128L_crop,TM,503920.000,146.996,148.000,74074195.000,146.548,147.000,13.555,46.000,189.000,73848235.000,0.092497,0.000,0.012,0.083

