image,well,roi_area,raw_mean,raw_median,raw_intden,mean_gray,median_gray,sd_gray,min_gray,max_gray,intden_gray,cv_gray,dark_frac_40,dark_frac_60,dark_frac_80
000blank_crop,TL,477851.000,23.386,23.000,11174964.000,37.656,36.000,11.461,0.000,125.000,17993825.000,0.304376,77.817,99.888,99.969

000blank_crop,TM,503920.000,12.831,13.000,6465605.000,27.707,27.000,8.891,0.000,83.000,13962063.000,0.320904,92.860,99.538,99.998

000blank_crop,TR,484526.000,26.822,26.000,12996069.000,39.709,39.000,8.548,0.000,120.000,19239983.000,0.215255,58.340,97.578,99.979

000blank_crop,BL,475902.000,29.903,29.000,14230713.000,42.539,42.000,8.795,0.000,87.000,20244288.000,0.206762,43.271,96.436,99.991

000blank_crop,BM,495156.000,23.523,23.000,11647318.000,36.803,37.000,7.918,0.000,74.000,18223309.000,0.215133,69.709,99.612,100.000

000blank_crop,BR,463304.000,29.650,29.000,13736959.000,42.367,41.000,9.024,0.000,113.000,19629023.000,0.212984,44.933,96.126,99.743

10103_crop,TL,477851.000,83.371,84.000,39838733.000,99.446,101.000,18.073,0.000,160.000,47520141.000,0.181738,24.066,25.397,30.678

10103_crop,TM,503920.000,31.182,11.000,15712982.000,59.140,33.000,62.859,0.000,230.000,29801948.000,1.062888,53.098,59.600,65.623

10103_crop,TR,484526.000,18.687,17.000,9054479.000,33.001,31.000,13.515,0.000,145.000,15989913.000,0.409532,83.243,95.844,98.502

10103_crop,BL,475902.000,33.648,33.000,16012949.000,45.112,44.000,8.665,0.000,122.000,21468750.000,0.192081,29.403,95.451,99.520

10103_crop,BM,495156.000,21.770,21.000,10779420.000,34.996,34.000,8.132,0.000,79.000,17328560.000,0.232379,79.033,99.033,100.000

10103_crop,BR,463304.000,32.649,32.000,15126376.000,44.699,43.000,10.539,0.000,124.000,20709341.000,0.235779,34.996,93.926,98.476

10603_crop,TL,477851.000,92.224,94.000,44069395.000,108.144,109.000,20.772,0.000,178.000,51676831.000,0.192074,23.678,24.660,28.569

10603_crop,TM,503920.000,105.805,109.000,53317052.000,122.569,126.000,30.863,0.000,227.000,61764757.000,0.251800,2.100,4.204,8.868

10603_crop,TR,484526.000,79.170,82.000,38359894.000,106.492,110.000,30.911,0.000,189.000,51598032.000,0.290271,3.793,8.552,17.375

10603_crop,BL,475902.000,80.146,84.000,38141581.000,113.692,120.000,37.733,0.000,203.000,54106432.000,0.331891,5.481,11.189,18.527

