image,well,roi_area,raw_mean,raw_median,raw_intden,mean_gray,median_gray,sd_gray,min_gray,max_gray,intden_gray,cv_gray,dark_frac_40,dark_frac_60,dark_frac_80
000blank_crop,TL,477851.000,23.386,23.000,11174964.000,37.656,36.000,11.461,0.000,125.000,17993825.000,0.304376,77.817,99.888,99.969

000blank_crop,TM,503920.000,12.831,13.000,6465605.000,27.707,27.000,8.891,0.000,83.000,13962063.000,0.320904,92.860,99.538,99.998

000blank_crop,TR,484526.000,26.822,26.000,12996069.000,39.709,39.000,8.548,0.000,120.000,19239983.000,0.215255,58.340,97.578,99.979

000blank_crop,BL,475902.000,29.903,29.000,14230713.000,42.539,42.000,8.795,0.000,87.000,20244288.000,0.206762,43.271,96.436,99.991

000blank_crop,BM,495156.000,23.523,23.000,11647318.000,36.803,37.000,7.918,0.000,74.000,18223309.000,0.215133,69.709,99.612,100.000

000blank_crop,BR,463304.000,29.650,29.000,13736959.000,42.367,41.000,9.024,0.000,113.000,19629023.000,0.212984,44.933,96.126,99.743

10101_crop,TL,477851.000,81.299,82.000,38848765.000,103.104,106.000,25.224,0.000,169.000,49268564.000,0.244647,25.017,28.771,37.219

10101_crop,TM,503920.000,42.451,46.000,21391814.000,100.010,108.000,51.142,0.000,217.000,50397284.000,0.511367,16.716,24.379,33.353

10101_crop,TR,484526.000,52.980,57.000,25670167.000,104.686,113.000,46.199,0.000,207.000,50723054.000,0.441309,12.369,19.242,27.744

10101_crop,BL,475902.000,77.203,79.000,36741126.000,105.231,109.000,29.001,0.000,175.000,50079838.000,0.275594,3.459,8.475,17.626

10101_crop,BM,495156.000,48.784,52.000,24155654.000,104.533,111.000,47.082,0.000,213.000,51760273.000,0.450402,12.406,19.949,29.647

10101_crop,BR,463304.000,45.810,49.000,21223890.000,102.290,108.000,47.157,0.000,212.000,47391593.000,0.461009,13.161,20.862,30.506

10601_crop,TL,477851.000,75.004,77.000,35840829.000,99.469,102.000,24.489,0.000,175.000,47531584.000,0.246198,24.905,28.396,36.376

10601_crop,TM,503920.000,56.527,59.000,28485174.000,97.514,102.000,34.695,0.000,190.000,49139355.000,0.355792,8.282,15.015,26.510

10601_crop,TR,484526.000,60.090,63.000,29115165.000,98.788,103.000,35.420,0.000,197.000,47865478.000,0.358548,7.819,14.353,25.963

10601_crop,BL,475902.000,59.805,62.000,28461521.000,102.576,108.000,38.353,0.000,205.000,48815954.000,0.373903,8.339,15.106,25.683

