sample	gs_heterozygous_ab	gs_model_fit	gs_haploid_len	smudge_ploidy	verdict_hint
Cn101	0%	97.6187%	10,068,899bp	NA	haploid-like (het~0)
Cn106	0%	97.4354%	9,675,221bp	NA	haploid-like (het~0)
Cn126	0%	97.5662%	9,654,041bp	NA	haploid-like (het~0)
Cn128	0.0389918%	87.0621%	22,365,681bp	NA	haploid-like (het~0)
Cn147	11.4674%	96.5004%	10,263,251bp	NA	diploid/het candidate
Cn150	0%	97.7767%	9,996,004bp	NA	haploid-like (het~0)
Cn160	0.00306901%	95.2944%	20,819,986bp	NA	haploid-like (het~0)
Cn162	0%	97.5493%	9,778,822bp	NA	haploid-like (het~0)
Cn169	0%	97.3114%	9,612,828bp	NA	haploid-like (het~0)
Cn174	0%	97.5092%	9,831,602bp	NA	haploid-like (het~0)
Cn196	0.0177112%	83.2283%	21,676,811bp	NA	haploid-like (het~0)
Cn197	0.0415074%	70.2814%	21,097,178bp	NA	haploid-like (het~0)
Cn198	0%	71.4661%	21,065,929bp	NA	haploid-like (het~0)
Cn208	0%	97.171%	9,608,516bp	NA	haploid-like (het~0)
Cn213	0%	96.8775%	10,080,067bp	NA	haploid-like (het~0)
Cn215	0%	92.9452%	19,930,226bp	NA	haploid-like (het~0)
Cn217	0%	97.1202%	10,067,833bp	NA	haploid-like (het~0)
Cn225	0%	97.1481%	9,894,842bp	NA	haploid-like (het~0)
Cn226	0%	97.5605%	9,838,959bp	NA	haploid-like (het~0)
Cn10101	0.00931595%	95.1799%	23,527,569bp	NA	haploid-like (het~0)
Cn10102	0%	97.4572%	10,056,636bp	NA	haploid-like (het~0)
Cn10103	0%	97.345%	10,230,386bp	NA	haploid-like (het~0)
Cn10601	0.011483%	89.7564%	22,738,157bp	NA	haploid-like (het~0)
Cn10602	0%	97.3442%	9,840,868bp	NA	haploid-like (het~0)
Cn10603	0%	97.5994%	10,087,919bp	NA	haploid-like (het~0)
Cn12601	0.00669221%	95.0857%	22,481,556bp	NA	haploid-like (het~0)
