sample	chrom	chr_length	chr_bases	chr_mean_depth	chr_min_depth	chr_max_depth	sample_mean_depth_nuclear	chr_depth_norm	chr_log2_norm
Cn1	NC_026745.1	2291499	686840976	299.73	0	2260	305.0869317782101	0.9824412938732348	-0.02555689369260127
Cn1	NC_026746.1	1621675	601053015	370.64	0	16586	305.0869317782101	1.2148668507028848	0.28079820324916765
Cn1	NC_026747.1	1575141	471568669	299.38	0	1972	305.0869317782101	0.98129407987111394	-0.02724253847154054
Cn1	NC_026748.1	1084805	322267421	297.07	0	1948	305.0869317782101	0.9737224674571174	-0.03841746413887527
Cn1	NC_026749.1	1814975	543672914	299.55	0	1259	305.0869317782101	0.9818512981007155	-0.026423550731612518
Cn1	NC_026750.1	1422463	429031512	301.61	0	1190	305.0869317782101	0.9886034719417687	-0.016536121704865406
Cn1	NC_026751.1	1399503	420480747	300.45	0	1882	305.0869317782101	0.9848012769633114	-0.02209546236287752
Cn1	NC_026752.1	1398693	409975048	293.11	0	5887	305.0869317782101	0.9607425604616949	-0.057778195107558786
Cn1	NC_026753.1	1186808	354546021	298.74	0	1638	305.0869317782101	0.979196317124379	-0.03032996299689818
Cn1	NC_026754.1	1059964	319651051	301.57	0	2108	305.0869317782101	0.9884723617700977	-0.016727466914322555
Cn1	NC_026755.1	1561994	463788958	296.92	0	1986	305.0869317782101	0.9732308043133515	-0.03914611028016863
Cn1	NC_026756.1	774062	231323153	298.84	0	2304	305.0869317782101	0.9795240925535562	-0.02984711716726703
Cn1	NC_026757.1	756744	228870347	302.44	0	2102	305.0869317782101	0.9913240080039405	-0.012571424618398368
Cn1	NC_026758.1	942867	280386278	297.38	0	1000	305.0869317782101	0.9747385712875672	-0.036912760620605105
Cn2	NC_026745.1	2291499	544342853	237.55	0	1389	243.2658164045013	0.9765038241336915	-0.03430240095664751
Cn2	NC_026746.1	1621675	477579233	294.5	0	12896	243.2658164045013	1.2106098766885798	0.27573402635033156
Cn2	NC_026747.1	1575141	375306737	238.27	0	2150	243.2658164045013	0.9794635494688894	-0.02993629098966708
Cn2	NC_026748.1	1084805	260355989	240	0	1560	243.2658164045013	0.9865751117326287	-0.019499201871610618
Cn2	NC_026749.1	1814975	433574997	238.89	0	939	243.2658164045013	0.9820122018408652	-0.026187144251731517
Cn2	NC_026750.1	1422463	341613765	240.16	0	963	243.2658164045013	0.9872328284737838	-0.01853772563416539
Cn2	NC_026751.1	1399503	338751183	242.05	0	1533	243.2658164045013	0.9950021074786782	-0.007228513506635727
Cn2	NC_026752.1	1398693	327565622	234.19	0	8930	243.2658164045013	0.9626917725694346	-0.054854134165262664
Cn2	NC_026753.1	1186808	282054848	237.66	0	1376	243.2658164045013	0.9769560043932355	-0.03363450062907812
Cn2	NC_026754.1	1059964	254913777	240.49	0	1718	243.2658164045013	0.9885893692524161	-0.01655670227704688
Cn2	NC_026755.1	1561994	368620198	235.99	0	1861	243.2658164045013	0.9700910859074294	-0.043807880559276126
Cn2	NC_026756.1	774062	185602508	239.78	0	2468	243.2658164045013	0.9856707512135404	-0.020822278828719377
Cn2	NC_026757.1	756744	181496937	239.84	0	1806	243.2658164045013	0.9859173949914736	-0.020461319306994293
Cn2	NC_026758.1	942867	223802841	237.36	0	748	243.2658164045013	0.9757227855035698	-0.03545677577458676
Cn3	NC_026745.1	2291499	495325539	216.16	0	1154	221.6832550490591	0.9750849244439468	-0.03640021988299017
Cn3	NC_026746.1	1621675	449506775	277.19	0	14305	221.6832550490591	1.2503876304895338	0.322375411601466
Cn3	NC_026747.1	1575141	340498497	216.17	0	1656	221.6832550490591	0.975130033850148	-0.03633347942819189
Cn3	NC_026748.1	1084805	234630518	216.29	0	1528	221.6832550490591	0.9756713467245617	-0.03553283470104965
Cn3	NC_026749.1	1814975	393428086	216.77	0	884	221.6832550490591	0.9778365982222167	-0.0323346917037266
Cn3	NC_026750.1	1422463	311342274	218.88	0	1052	221.6832550490591	0.9873546829306582	-0.018359664322776817
