symbol	cnag	tier	official_symbol_gaf	chrom	strand	n_cds_intervals	cds_bp	coord_source
CNA1	CNAG_04796	context	CNA1	NC_026754.1	+	12	1917	GCF_000149245.1_CNA3_genomic.gtf
CNB1	CNAG_00888	context	CNB1	NC_026749.1	+	7	525	GCF_000149245.1_CNA3_genomic.gtf
HOG1	CNAG_01523	context	HOG1	NC_026755.1	-	6	1095	GCF_000149245.1_CNA3_genomic.gtf
HSP90	CNAG_06150	context	CNAG_06150	NC_026756.1	-	6	2097	GCF_000149245.1_CNA3_genomic.gtf
MPK1	CNAG_04514	context	MPK1	NC_026753.1	+	9	1278	GCF_000149245.1_CNA3_genomic.gtf
PKC1	CNAG_01845	context	PKC1	NC_026755.1	-	11	3258	GCF_000149245.1_CNA3_genomic.gtf
TOR1	CNAG_06642	context	TOR1	NC_026751.1	+	27	7080	GCF_000149245.1_CNA3_genomic.gtf
YPK1	CNAG_04678	context	YPK1	NC_026754.1	+	9	1725	GCF_000149245.1_CNA3_genomic.gtf
AFR1	CNAG_00730	dosage	AFR1	NC_026745.1	+	28	4629	GCF_000149245.1_CNA3_genomic.gtf
ERG11	CNAG_00040	dosage	ERG11	NC_026745.1	+	9	1641	GCF_000149245.1_CNA3_genomic.gtf
ERG2	CNAG_00854	dosage	ERG2	NC_026745.1	-	4	759	GCF_000149245.1_CNA3_genomic.gtf
CDA2	CNAG_01230	output	MP98	NC_026749.1	+	5	1365	GCF_000149245.1_CNA3_genomic.gtf
CHS5	CNAG_05818	output	CHS5	NC_026751.1	-	13	5793	GCF_000149245.1_CNA3_genomic.gtf
CHS6	CNAG_06487	output	CHS6	NC_026757.1	+	21	2832	GCF_000149245.1_CNA3_genomic.gtf
CHS7	CNAG_02217	output	CHS7	NC_026750.1	-	25	2793	GCF_000149245.1_CNA3_genomic.gtf
CRZ1	CNAG_00156	output	SP1	NC_026745.1	-	6	3282	GCF_000149245.1_CNA3_genomic.gtf
FKS1	CNAG_06508	output	FKS1	NC_026757.1	+	8	5397	GCF_000149245.1_CNA3_genomic.gtf
HSP78	CNAG_03347	output	CNAG_03347	NC_026752.1	-	4	2502	GCF_000149245.1_CNA3_genomic.gtf
KRE6	CNAG_00914	output	KRE6	NC_026749.1	+	5	1857	GCF_000149245.1_CNA3_genomic.gtf
NTH1	CNAG_03785	output	NTH1	NC_026746.1	-	14	2625	GCF_000149245.1_CNA3_genomic.gtf
PMC1	CNAG_01232	output	PMC1	NC_026749.1	+	9	4242	GCF_000149245.1_CNA3_genomic.gtf
PMR1	CNAG_05135	output	PMR1	NC_026748.1	-	7	3351	GCF_000149245.1_CNA3_genomic.gtf
TPS1	CNAG_05292	output	TPS1	NC_026748.1	+	8	2007	GCF_000149245.1_CNA3_genomic.gtf
TPS2	CNAG_03765	output	TPS2	NC_026746.1	+	7	2961	GCF_000149245.1_CNA3_genomic.gtf
VCX1	CNAG_00025	output	VCX1	NC_026745.1	-	11	1831	GCF_000149245.1_CNA3_genomic.gtf
